jobtitle,department,total_term,ratio
"Human Resources Analyst II","Human Resources",64,10.47
"Research Assistant II","Business Development",61,8.21
"Data Visualization Specialist",Engineering,59,12.91
"Business Analyst","Business Development",59,10.02
"Account Executive",Sales,57,11.29
"Human Resources Analyst","Human Resources",45,11.03
"Software Engineer I",Engineering,44,11.08
"Service Tech",Services,42,12.84
"Data Coordiator",Engineering,42,11.80
"Tax Accountant",Accounting,40,13.20
"Project Manager","Product Management",40,11.76
"Senior Developer",Engineering,40,11.08
"Software Consultant",Engineering,37,11.01
"Business Systems Development Analyst",Engineering,37,10.85
"Senior Cost Accountant",Accounting,36,11.36
"Desktop Support Technician",Support,36,11.21
"Systems Administrator I",Engineering,36,9.63
"Staff Accountant I",Accounting,36,8.16
"Service Coordinator",Services,34,10.40
"Service Tech III",Services,34,10.03
"Analyst Programmer",Engineering,34,9.14
"Service Manager",Services,33,10.09
"Help Desk Technician",Support,32,9.52
"Customer Success Manager",Sales,31,14.49
"Budget/Accounting Analyst IV",Accounting,30,16.57
"Junior Trainer",Training,30,16.57
"Research Assistant I","Business Development",30,10.31
Recruiter,"Human Resources",29,12.39
"Cost Accountant",Accounting,28,9.09
"Service Tech II",Services,27,8.26
"Administrative Assistant I",Training,26,14.21
"Solutions Engineer",Sales,26,12.15
"Structural Engineer","Research and Development",26,10.32
"HR Manager","Human Resources",25,12.25
"Solutions Engineer Manager",Sales,24,11.21
"Trainer III",Training,23,12.64
Operator,"Research and Development",23,10.95
"Research Assistant I","Research and Development",23,10.75
"Senior Recruiter","Human Resources",22,10.78
"Pre-Sales Consultant",Sales,22,10.28
"Senior Trainer",Training,20,10.99
"Training Manager",Training,18,9.89
"Relationshiop Manager",Sales,18,8.41
"Budget/Accounting Analyst III",Accounting,17,10.63
"Research Associate","Research and Development",17,9.94
"Trainer II",Training,17,9.34
"Assistant Trainer",Training,16,8.79
"Budget/Accounting Analyst I",Accounting,15,9.32
"Budget/Accounting Analyst II",Accounting,14,8.43
"Database Administrator III",Engineering,13,15.66
"Systems Administrator IV",Engineering,13,14.77
